,value
0,6.942
1,6.8820000000000014
2,6.852
3,6.977
4,6.926
5,6.82
6,6.7639999999999985
7,6.973
8,7.002999999999999
9,7.104
10,7.108
11,7.306
12,7.682
13,8.06
14,8.15
15,8.22
16,8.47
17,8.54
18,8.67
19,8.88
20,8.97
21,8.99
22,9.08
23,9.15
24,9.21
25,9.28
26,9.25
27,9.24
28,9.33
29,9.54
30,9.83
31,10.11
32,10.25
33,10.28
34,10.33
35,10.41
36,10.49
37,10.62
38,10.83
39,11.14
40,11.58
41,11.75
42,11.79
43,11.86
44,11.91
45,12.06
46,12.16
47,12.2
48,12.26
49,12.28
50,12.09
51,12.26
52,12.52
53,12.61
54,12.68
55,12.69
56,12.72
57,12.77
58,12.8
59,12.73
60,12.72
61,12.72
62,12.81
63,12.91
64,12.92
65,12.67
66,12.64
67,12.7
68,12.72
69,12.71
70,12.82
71,12.83
72,12.9
73,12.99
74,13.02
75,13.08
76,13.16
77,12.9
78,12.74
79,12.89
80,12.93
81,12.81
82,12.78
83,12.76
84,12.79
85,12.65
86,12.61
87,12.72
88,12.99
89,12.85
90,12.85
91,12.83
92,12.93
93,12.99
94,13.18
95,13.05
96,13.12
97,12.88
98,12.87
99,12.63
100,12.49
101,12.11
102,11.63
103,11.24
104,11.01
105,10.54
106,9.96
107,9.48
108,9.1
109,8.79
110,8.43
111,8.44
112,8.62
113,8.43
114,8.13
115,7.81
116,7.731
117,7.5139999999999985
118,7.27
119,7.125
120,6.965
121,6.779
122,6.619
123,6.494
124,6.4
125,6.259
126,6.232
127,6.178
128,6.289
129,6.251
130,6.496
131,6.419
132,6.41
133,6.737
134,6.907
135,7.055
136,7.14
137,7.255
138,7.487
139,7.642
140,7.727
141,7.834
142,7.933
143,7.939
144,7.945
145,7.945
146,7.852
147,7.802
148,7.85
149,7.947999999999999
150,7.923999999999999
151,7.715
152,7.539
153,7.296
154,7.033
155,6.6629999999999985
156,6.315
157,6.039
158,5.746
159,4.955
160,5.148
161,5.132999999999999
162,5.244
163,5.088
164,4.776
165,4.742
166,4.957
167,5.025
168,5.003
169,5.003
170,5.109
171,4.956
172,5.122000000000001
173,5.292000000000002
174,5.205
175,5.008
176,4.494
177,4.463
178,4.465
179,4.431
180,4.221
181,4.298
182,4.425
183,4.548
184,4.428
185,4.335
186,4.221
187,4.455
188,4.871
189,5.0710000000000015
190,5.2429999999999986
191,5.307
192,5.035
193,4.374
194,3.742
195,3.783
196,4.3580000000000005
197,4.637
198,4.794
199,5.07
200,5.367000000000001
201,5.5
202,5.65
203,5.652
204,5.398
205,5.083
206,4.749
207,4.466
208,4.194
209,4.02
210,3.833
211,3.584
212,3.41
213,3.265
214,3.175
215,3.12
216,3.01
217,2.875
218,2.732
219,2.651
220,2.61
221,2.494
222,2.461
223,2.471
224,2.509
225,2.603
226,2.818
227,3.035
228,3.131
229,3.124
230,3.157
231,3.1460000000000004
232,3.1210000000000004
233,3.136
234,3.272
235,3.359
236,3.3760000000000003
237,3.432
238,3.244
239,3.127
240,3.156
241,3.383
242,3.511
243,3.5010000000000003
244,3.756
245,3.755
246,3.565
247,3.435
248,3.551
249,3.472
250,3.384
251,3.232
252,3.129
253,2.964
254,2.7430000000000003
255,2.668
256,2.613
257,2.756
258,2.454
259,2.35
260,2.502
261,2.465
262,2.535
263,2.689
264,2.653
265,2.656
266,2.7880000000000003
267,2.793
268,2.978
269,3.0410000000000004
270,3.06
271,2.965
272,2.779
273,2.624
274,2.365
275,2.343
276,2.37
277,2.274
278,2.196
279,1.951
280,1.897
281,1.742
282,1.8
283,1.4880000000000002
284,1.527
285,1.587
286,1.5719999999999998
287,0.951
288,0.912
289,0.779
290,0.546
291,0.607
292,0.865
293,0.759
294,0.619
295,0.7170000000000001
